시도,생활안전,교통안전,폭력예방_신변보호,약물_사이버중독예방,재난안전,직업안전,응급처치,합계
서울,23,3,33,11,21,1,21,113
부산,10,1,14,10,4,1,10,50
대구,10,5,11,1,5,2,15,49
인천,8,3,12,2,5,6,8,44
광주,4,0,25,4,4,0,2,39
대전,20,1,16,3,2,4,9,55
울산,5,1,5,1,3,2,3,20
세종,5,3,3,0,3,0,0,14
경기,40,6,39,7,28,9,36,165
강원,3,1,5,0,1,0,1,11
충북,7,6,9,2,1,0,1,26
충남,12,5,12,2,3,3,6,43
전북,3,18,4,0,9,0,2,36
전남,7,2,20,4,2,1,4,40
경북,12,7,14,12,5,1,8,59
경남,7,6,9,1,6,3,5,37
제주,0,2,1,0,1,0,0,4
